Time (s), Cell Name, Value
139.4171, C043, 1849.344
140.9189, C043, 1395.838
141.6698, C043, 2923.104
162.39464, C043, 645.0845
163.1956, C043, 832.7201
163.54602, C043, 611.7441
261.71368, C043, 1425.291
263.51584, C043, 853.8856
264.41692, C043, 1019.189
265.8186, C043, 2112.803
268.121359, C043, 1379.135
291.3492, C043, 672.644
304.71522, C043, 1077.733
305.1157, C043, 1141.815
8.810560000000001, C044, 1076.254
9.711639999999999, C044, 1104.121
21.0252, C044, 990.5999
22.32676, C044, 2254.281
24.07886, C044, 1558.716
37.09446, C044, 2081.752
43.45208, C044, 1894.529
45.8049, C044, 1118.046
78.3439, C044, 1831.508
79.54534, C044, 1520.054
89.50727999999999, C044, 641.3859
131.30738, C044, 1073.997
131.908099, C044, 848.6243
142.02022, C044, 1623.065
163.39584, C044, 637.0175
171.50556, C044, 1920.234
172.75706, C044, 1050.861
176.26126, C044, 1553.582
182.66894, C044, 1477.079
183.62008, C044, 1247.694
185.27206, C044, 1414.286
187.82512, C044, 734.4821
196.03496, C044, 1457
196.4855, C044, 1320.637
198.7382, C044, 1000.037
201.19114, C044, 2005.836
201.89198, C044, 1109.382
203.2436, C044, 1499.385
206.04696, C044, 917.9606
213.90638, C044, 1753.319
216.45944, C044, 1528.719
224.7694, C044, 906.9417
228.87432, C044, 1857.938
230.62642, C044, 1217.693
233.7802, C044, 1929.744
283.03924, C044, 2124.135
283.5899, C044, 855.5469
284.49098, C044, 1433.214
286.8438, C044, 1432.204
295.50418, C044, 1712.962
296.45532, C044, 834.8727
296.90586, C044, 1124.744
298.30754, C044, 670.3087
300.46012, C044, 594.3087
311.92386, C044, 1843.984
72.0864, C045, 541.7672
133.960559, C045, 501.0542
